INFO:       STEP            TIME       TOTAL_ENE   POTENTIAL_ENE     KINETIC_ENE            RMSG            BOND           ANGLE    UREY-BRADLEY        DIHEDRAL        IMPROPER            CMAP         VDWAALS           ELECT     TEMPERATURE          VOLUME
 --------------- --------------- --------------- --------------- ---------------
INFO:         10          0.0250     -31137.0795     -38162.5287       7025.4492         13.4421         14.0238         17.1134          1.5721          8.3883          2.0715         -2.8461       4136.8267     -42339.6785        297.9033     117731.1667

INFO:         20          0.0500     -31144.3716     -38259.4772       7115.1056         13.4864          8.0013         17.7911          1.1347          7.1661          2.1755         -1.8642       4167.2069     -42461.0887        301.7050     117731.1667

INFO:         30          0.0750     -31155.2420     -38211.8356       7056.5937         13.5026          8.0351         21.3157          1.8763          7.8940          0.5177         -2.8222       4301.1243     -42549.7765        299.2239     117731.1667

INFO:         40          0.1000     -31152.9062     -38284.4881       7131.5819         13.5178          9.5953         22.5526          1.1981          6.9341          1.7648         -3.1647       4315.4963     -42638.8645        302.4036     117731.1667

INFO:         50          0.1250     -31159.3888     -38297.8902       7138.5014         13.5662          9.6801         27.8554          1.5438          6.4428          0.3783         -3.0989       4365.2190     -42705.9107        302.6971     117731.1667

INFO:         60          0.1500     -31150.4624     -38318.0511       7167.5887         13.5294          5.5701         25.8024          1.5679          7.1569          1.7368         -2.8073       4250.3989     -42607.4769        303.9305     117731.1667

INFO:         70          0.1750     -31150.1486     -38297.2384       7147.0898         13.5136          6.7316         19.8137          0.9319          9.0790          0.5296         -1.8878       4223.2699     -42555.7063        303.0612     117731.1667

INFO:         80          0.2000     -31152.5919     -38259.2174       7106.6254         13.5134          6.8757         18.2200          1.3329          6.6511          1.4262         -2.3083       4251.4178     -42542.8328        301.3454     117731.1667

INFO:         90          0.2250     -31153.5814     -38307.4599       7153.8785         13.5355          5.4639         26.2805          1.0034          5.2213          1.0803         -2.3438       4295.5847     -42639.7502        303.3491     117731.1667

